projeto,project_name,metodo,modo,status,team_size_expected,team_size_returned,team_size_ok,AE,AT,AC,fitness_final,AE_raw_surrogate,all_must_ok,must_dom_ok,must_eco_ok,must_ling_ok,dom_score,eco_score,ling_score,pc_score,pc_label,pares_total,pares_colab,pares_proj,equipe,tempo_s,tempo_eval_surrogate_s,tempo_llm_total_s,tempo_llm_por_projeto_s,tempo_llm_is_approx
P1,Manutenção de Portal Corporativo .NET,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.550794027777778,0.5476195000000001,0.5666666666666667,0.550794027777778,0.550794027777778,True,True,True,True,0.6428575,0.857143,0.428572,0.6333333333333333,H,6,6,16,"[211, 81, 145, 202]",33.916666666666664,0.006609,407.0,33.916666666666664,True
P2,App Mobile Híbrido com Painel Web,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.6269844444444443,0.6190479999999999,0.6666666666666666,0.6269844444444443,0.6269844444444443,True,True,True,True,0.857143,0.857143,0.428572,0.7333333333333333,H,6,6,17,"[490, 480, 311, 174]",33.916666666666664,0.005742,407.0,33.916666666666664,True
P3,Plataforma IoT de Sensoriamento em Nuvem,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.7087304166666667,0.6904765,0.8,0.7087304166666667,0.7087304166666667,True,True,True,True,0.857143,0.428572,0.6428575,0.8,VH,6,6,26,"[465, 638, 496, 466]",33.916666666666664,0.005778,407.0,33.916666666666664,True
P4,SaaS Web de Relatórios Analíticos,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.5793651111111111,0.809524,0.5333333333333333,0.5793651111111111,0.5793651111111111,True,True,True,True,0.857143,0.428572,0.857143,0.5333333333333333,M,6,6,13,"[503, 359, 492, 351]",33.916666666666664,0.004771,407.0,33.916666666666664,True
P5,Plataforma Crítica Web+Cloud,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.5568783333333333,0.84127,0.5,0.5568783333333333,0.5568783333333333,True,True,True,True,0.857143,0.714286,0.857143,0.5333333333333333,M,6,6,12,"[65, 181, 351, 631]",33.916666666666664,0.005699,407.0,33.916666666666664,True
P6,Plataforma Web de Gestão com IA e Integração CRM,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.6587301944444445,0.7857145,0.6333333333333333,0.6587301944444445,0.6587301944444445,True,True,True,True,0.6428575,0.857143,0.857143,0.6666666666666666,H,6,6,24,"[205, 81, 214, 145]",33.916666666666664,0.006794,407.0,33.916666666666664,True
P7,Plataforma Web Angular + Spring Boot com IA Generativa,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.6428571666666666,0.857143,0.6,0.6428571666666666,0.6428571666666666,True,True,True,True,0.857143,0.857143,0.857143,0.6,M,6,6,15,"[503, 357, 359, 326]",33.916666666666664,0.006204,407.0,33.916666666666664,True
P8,App Mobile IoT com Backend Cloud,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.7341270277777778,0.7380955,0.7333333333333334,0.7341270277777778,0.7341270277777778,True,True,True,True,0.857143,0.857143,0.6428575,0.7333333333333334,H,6,6,19,"[367, 356, 198, 269]",33.916666666666664,0.005849,407.0,33.916666666666664,True
P9,Plataforma Cloud de Processamento de Documentos com IA,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.8134922222222222,0.809524,0.8333333333333333,0.8134922222222222,0.8134922222222222,True,True,True,True,0.857143,0.428572,0.857143,0.8333333333333333,VH,6,6,23,"[638, 496, 582, 466]",33.916666666666664,0.005445,407.0,33.916666666666664,True
P10,SaaS Web de Rastreamento e Gestão com Angular,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.6984127222222223,0.857143,0.6666666666666667,0.6984127222222223,0.6984127222222223,True,True,True,True,0.857143,0.857143,0.857143,0.7000000000000001,H,6,6,17,"[308, 357, 503, 359]",33.916666666666664,0.006104,407.0,33.916666666666664,True
P11,App Mobile React Native com IA e Cloud AWS,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.5000000277777777,0.8333335,0.4333333333333333,0.5000000277777777,0.5000000277777777,True,True,True,True,0.857143,0.6428575,0.857143,0.5,M,6,6,10,"[359, 367, 397, 351]",33.916666666666664,0.006376,407.0,33.916666666666664,True
P12,Plataforma IoT Industrial com Integração Web,LLM_CHAT_MANUAL,AE_FULL_SURROGATE,OK,4,4,True,0.6984127222222222,0.857143,0.6666666666666666,0.6984127222222222,0.6984127222222222,True,True,True,True,0.857143,0.857143,0.857143,0.6666666666666666,H,6,6,18,"[202, 370, 398, 81]",33.916666666666664,0.005962,407.0,33.916666666666664,True
