projeto,modo,status,AT,AC,AE,equipe,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,project_name,metodo,team_size_expected,team_size_returned,team_size_ok,fitness_final,AE_raw_surrogate,all_must_ok,dom_score,eco_score,ling_score,pc_score,pc_label,pares_total,pares_colab,pares_proj,dom_M_covered,dom_M_total,eco_M_covered,eco_M_total,ling_M_covered,ling_M_total,dom_S_covered,dom_S_total,eco_S_covered,eco_S_total,ling_S_covered,ling_S_total,dom_C_covered,dom_C_total,eco_C_covered,eco_C_total,ling_C_covered,ling_C_total,tempo_eval_surrogate_s,tempo_llm_total_s,tempo_llm_por_projeto_s,tempo_llm_is_approx,timestamp
P1,AE_FULL_SURROGATE,OK,0.5476195000000001,0.5666666666666667,0.550794027777778,"[211, 81, 145, 202]",33.916666666666664,True,True,True,Manutenção de Portal Corporativo .NET,LLM_CHAT_MANUAL,4,4,True,0.550794027777778,0.550794027777778,True,0.6428575,0.857143,0.428572,0.6333333333333333,H,6,6,16,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0.006609,407.0,33.916666666666664,True,2026-06-29T21:59:47
P2,AE_FULL_SURROGATE,OK,0.6190479999999999,0.6666666666666666,0.6269844444444443,"[490, 480, 311, 174]",33.916666666666664,True,True,True,App Mobile Híbrido com Painel Web,LLM_CHAT_MANUAL,4,4,True,0.6269844444444443,0.6269844444444443,True,0.857143,0.857143,0.428572,0.7333333333333333,H,6,6,17,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,0.005742,407.0,33.916666666666664,True,2026-06-29T21:59:47
P3,AE_FULL_SURROGATE,OK,0.6904765,0.8,0.7087304166666667,"[465, 638, 496, 466]",33.916666666666664,True,True,True,Plataforma IoT de Sensoriamento em Nuvem,LLM_CHAT_MANUAL,4,4,True,0.7087304166666667,0.7087304166666667,True,0.857143,0.428572,0.6428575,0.8,VH,6,6,26,2,2,1,1,2,2,1,1,3,3,1,1,,,1,1,2,2,0.005778,407.0,33.916666666666664,True,2026-06-29T21:59:47
P4,AE_FULL_SURROGATE,OK,0.809524,0.5333333333333333,0.5793651111111111,"[503, 359, 492, 351]",33.916666666666664,True,True,True,SaaS Web de Relatórios Analíticos,LLM_CHAT_MANUAL,4,4,True,0.5793651111111111,0.5793651111111111,True,0.857143,0.428572,0.857143,0.5333333333333333,M,6,6,13,1,1,1,1,1,1,1,1,2,2,2,2,,,1,1,2,2,0.004771,407.0,33.916666666666664,True,2026-06-29T21:59:47
P5,AE_FULL_SURROGATE,OK,0.84127,0.5,0.5568783333333333,"[65, 181, 351, 631]",33.916666666666664,True,True,True,Plataforma Crítica Web+Cloud,LLM_CHAT_MANUAL,4,4,True,0.5568783333333333,0.5568783333333333,True,0.857143,0.714286,0.857143,0.5333333333333333,M,6,6,12,2,2,3,3,3,3,1,1,1,1,2,2,,,1,1,2,2,0.005699,407.0,33.916666666666664,True,2026-06-29T21:59:47
P6,AE_FULL_SURROGATE,OK,0.7857145,0.6333333333333333,0.6587301944444445,"[205, 81, 214, 145]",33.916666666666664,True,True,True,Plataforma Web de Gestão com IA e Integração CRM,LLM_CHAT_MANUAL,4,4,True,0.6587301944444445,0.6587301944444445,True,0.6428575,0.857143,0.857143,0.6666666666666666,H,6,6,24,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,0.006794,407.0,33.916666666666664,True,2026-06-29T21:59:47
P7,AE_FULL_SURROGATE,OK,0.857143,0.6,0.6428571666666666,"[503, 357, 359, 326]",33.916666666666664,True,True,True,Plataforma Web Angular + Spring Boot com IA Generativa,LLM_CHAT_MANUAL,4,4,True,0.6428571666666666,0.6428571666666666,True,0.857143,0.857143,0.857143,0.6,M,6,6,15,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,0.006204,407.0,33.916666666666664,True,2026-06-29T21:59:47
P8,AE_FULL_SURROGATE,OK,0.7380955,0.7333333333333334,0.7341270277777778,"[367, 356, 198, 269]",33.916666666666664,True,True,True,App Mobile IoT com Backend Cloud,LLM_CHAT_MANUAL,4,4,True,0.7341270277777778,0.7341270277777778,True,0.857143,0.857143,0.6428575,0.7333333333333334,H,6,6,19,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,0.005849,407.0,33.916666666666664,True,2026-06-29T21:59:47
P9,AE_FULL_SURROGATE,OK,0.809524,0.8333333333333333,0.8134922222222222,"[638, 496, 582, 466]",33.916666666666664,True,True,True,Plataforma Cloud de Processamento de Documentos com IA,LLM_CHAT_MANUAL,4,4,True,0.8134922222222222,0.8134922222222222,True,0.857143,0.428572,0.857143,0.8333333333333333,VH,6,6,23,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,0.005445,407.0,33.916666666666664,True,2026-06-29T21:59:47
P10,AE_FULL_SURROGATE,OK,0.857143,0.6666666666666667,0.6984127222222223,"[308, 357, 503, 359]",33.916666666666664,True,True,True,SaaS Web de Rastreamento e Gestão com Angular,LLM_CHAT_MANUAL,4,4,True,0.6984127222222223,0.6984127222222223,True,0.857143,0.857143,0.857143,0.7000000000000001,H,6,6,17,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,0.006104,407.0,33.916666666666664,True,2026-06-29T21:59:47
P11,AE_FULL_SURROGATE,OK,0.8333335,0.4333333333333333,0.5000000277777777,"[359, 367, 397, 351]",33.916666666666664,True,True,True,App Mobile React Native com IA e Cloud AWS,LLM_CHAT_MANUAL,4,4,True,0.5000000277777777,0.5000000277777777,True,0.857143,0.6428575,0.857143,0.5,M,6,6,10,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,0.006376,407.0,33.916666666666664,True,2026-06-29T21:59:47
P12,AE_FULL_SURROGATE,OK,0.857143,0.6666666666666666,0.6984127222222222,"[202, 370, 398, 81]",33.916666666666664,True,True,True,Plataforma IoT Industrial com Integração Web,LLM_CHAT_MANUAL,4,4,True,0.6984127222222222,0.6984127222222222,True,0.857143,0.857143,0.857143,0.6666666666666666,H,6,6,18,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,0.005962,407.0,33.916666666666664,True,2026-06-29T21:59:47
